arm,eval_set,scope,metric,mean,std,folds
single_phase_only,single_phase,rruff,mape_b_med,21.951825503084468,1.7784007806543574,5
single_phase_only,single_phase,rruff,mae_c,3.4821422061159213,0.46398059105911404,5
single_phase_only,single_phase,rruff,mape_c_med,28.243648804346407,2.4160452398356544,5
single_phase_only,single_phase,rruff,mae_ang,5.506572648352562,0.32947092265607136,5
single_phase_only,single_phase,rruff,mae_vol,475.9024322354039,101.38178574303817,5
single_phase_only,single_phase,rruff,mape_vol_med,39.64249458312988,2.274601295706818,5
zero_shot,multiphase_diagnostic,combined,sys_acc,0.35827217364752495,0.13824565140482617,5
zero_shot,multiphase_diagnostic,combined,sg_acc,0.06562458348759719,0.08818889114733909,5
zero_shot,multiphase_diagnostic,combined,sg_top5,0.13702352215228925,0.11861331865854413,5
zero_shot,multiphase_diagnostic,combined,el_f1_micro,0.012503808654394289,0.01338083309447066,5
zero_shot,multiphase_diagnostic,combined,el_exact,0.0,0.0,5
zero_shot,multiphase_diagnostic,combined,mae_a,1.727754157065418,0.24205483537905176,5
zero_shot,multiphase_diagnostic,combined,mae_a_med,1.5115218329628093,0.18626921495718488,5
zero_shot,multiphase_diagnostic,combined,mape_a_med,41.867908203087566,4.988966734009373,5
zero_shot,multiphase_diagnostic,combined,mae_b,2.108830859818389,0.3394430992600885,5
zero_shot,multiphase_diagnostic,combined,mape_b_med,50.755416080423764,7.8693015207771735,5
zero_shot,multiphase_diagnostic,combined,mae_c,2.6353872414114936,0.5101755236511032,5
zero_shot,multiphase_diagnostic,combined,mape_c_med,63.06372099602752,9.709583444359861,5
zero_shot,multiphase_diagnostic,combined,mae_ang,6.024377082729051,0.851253788201071,5
zero_shot,multiphase_diagnostic,combined,mae_vol,125.09250621097333,43.30938724748913,5
zero_shot,multiphase_diagnostic,combined,mape_vol_med,176.52921295166016,46.26417380292293,5
zero_shot,multiphase_diagnostic,opxrd,sys_acc,0.35827217364752495,0.13824565140482617,5
zero_shot,multiphase_diagnostic,opxrd,sg_acc,0.06562458348759719,0.08818889114733909,5
zero_shot,multiphase_diagnostic,opxrd,sg_top5,0.13702352215228925,0.11861331865854413,5
zero_shot,multiphase_diagnostic,opxrd,el_f1_micro,0.012503808654394289,0.01338083309447066,5
zero_shot,multiphase_diagnostic,opxrd,el_exact,0.0,0.0,5
zero_shot,multiphase_diagnostic,opxrd,mae_a,1.727754157065418,0.24205483537905176,5
zero_shot,multiphase_diagnostic,opxrd,mae_a_med,1.5115218329628093,0.18626921495718488,5
zero_shot,multiphase_diagnostic,opxrd,mape_a_med,41.867908203087566,4.988966734009373,5
zero_shot,multiphase_diagnostic,opxrd,mae_b,2.108830859818389,0.3394430992600885,5
zero_shot,multiphase_diagnostic,opxrd,mape_b_med,50.755416080423764,7.8693015207771735,5
zero_shot,multiphase_diagnostic,opxrd,mae_c,2.6353872414114936,0.5101755236511032,5
zero_shot,multiphase_diagnostic,opxrd,mape_c_med,63.06372099602752,9.709583444359861,5
zero_shot,multiphase_diagnostic,opxrd,mae_ang,6.024377082729051,0.851253788201071,5
zero_shot,multiphase_diagnostic,opxrd,mae_vol,125.09250621097333,43.30938724748913,5
zero_shot,multiphase_diagnostic,opxrd,mape_vol_med,176.52921295166016,46.26417380292293,5
zero_shot,multiphase_diagnostic,rruff,sys_acc,,,0
zero_shot,multiphase_diagnostic,rruff,sg_acc,,,0
zero_shot,multiphase_diagnostic,rruff,sg_top5,,,0
zero_shot,multiphase_diagnostic,rruff,el_f1_micro,,,0
zero_shot,multiphase_diagnostic,rruff,el_exact,,,0
zero_shot,multiphase_diagnostic,rruff,mae_a,,,0
zero_shot,multiphase_diagnostic,rruff,mae_a_med,,,0
zero_shot,multiphase_diagnostic,rruff,mape_a_med,,,0
zero_shot,multiphase_diagnostic,rruff,mae_b,,,0
zero_shot,multiphase_diagnostic,rruff,mape_b_med,,,0
zero_shot,multiphase_diagnostic,rruff,mae_c,,,0
zero_shot,multiphase_diagnostic,rruff,mape_c_med,,,0
zero_shot,multiphase_diagnostic,rruff,mae_ang,,,0
zero_shot,multiphase_diagnostic,rruff,mae_vol,,,0
zero_shot,multiphase_diagnostic,rruff,mape_vol_med,,,0
zero_shot,single_phase,combined,sys_acc,0.34683727920834384,0.028120289060259138,5
zero_shot,single_phase,combined,sg_acc,0.22752163705143963,0.041471725469281844,5
zero_shot,single_phase,combined,sg_top5,0.5284410169952956,0.0519132279047868,5
zero_shot,single_phase,combined,el_f1_micro,0.2427141416739728,0.021613211590700288,5
zero_shot,single_phase,combined,el_exact,0.002949316257868461,0.0043028236072673726,5
zero_shot,single_phase,combined,mae_a,3.695069295629684,0.2968925836299243,5
zero_shot,single_phase,combined,mae_a_med,2.3806469209203955,0.1618937532441027,5
zero_shot,single_phase,combined,mape_a_med,31.442961440258237,1.6585457256478677,5
zero_shot,single_phase,combined,mae_b,3.6510818627246673,0.16533440694765741,5
zero_shot,single_phase,combined,mape_b_med,28.42526376377714,0.9898088666411687,5
zero_shot,single_phase,combined,mae_c,4.5138863435522465,0.21091137555557848,5
zero_shot,single_phase,combined,mape_c_med,34.52313202876444,1.2734596936947828,5
zero_shot,single_phase,combined,mae_ang,6.032269980546699,0.23595668477333995,5
zero_shot,single_phase,combined,mae_vol,1426.2279487272313,725.6037469958998,5
zero_shot,single_phase,combined,mape_vol_med,51.33083038330078,1.7265235028585875,5
zero_shot,single_phase,opxrd,sys_acc,0.2751253847749962,0.016693666070006594,5
zero_shot,single_phase,opxrd,sg_acc,,,0
zero_shot,single_phase,opxrd,sg_top5,,,0
zero_shot,single_phase,opxrd,el_f1_micro,,,0
zero_shot,single_phase,opxrd,el_exact,,,0
zero_shot,single_phase,opxrd,mae_a,4.643948130477152,0.8714330353664895,5
zero_shot,single_phase,opxrd,mae_a_med,2.875755102747235,0.15707865564380025,5
zero_shot,single_phase,opxrd,mape_a_med,38.89331145471706,3.852037908322616,5
zero_shot,single_phase,opxrd,mae_b,4.414012718057476,0.3935011658671318,5
zero_shot,single_phase,opxrd,mape_b_med,32.63303072470519,2.5239545099918717,5
zero_shot,single_phase,opxrd,mae_c,5.206920327204479,0.28098527685096875,5
zero_shot,single_phase,opxrd,mape_c_med,31.851259065505758,2.659534958048207,5
zero_shot,single_phase,opxrd,mae_ang,5.655816058048942,0.3282766146070323,5
zero_shot,single_phase,opxrd,mae_vol,2574.832458056179,1691.969039609978,5
zero_shot,single_phase,opxrd,mape_vol_med,62.23977355957031,7.518305276358771,5
zero_shot,single_phase,rruff,sys_acc,0.4033184933926931,0.03873210972035461,5
zero_shot,single_phase,rruff,sg_acc,0.22752163705143963,0.041471725469281844,5
zero_shot,single_phase,rruff,sg_top5,0.5284410169952956,0.0519132279047868,5
zero_shot,single_phase,rruff,el_f1_micro,0.2427141416739728,0.021613211590700288,5
zero_shot,single_phase,rruff,el_exact,0.002949316257868461,0.0043028236072673726,5
zero_shot,single_phase,rruff,mae_a,2.9280818991077804,0.21382727954528047,5
zero_shot,single_phase,rruff,mae_a_med,2.104272075880929,0.21012449186324506,5
zero_shot,single_phase,rruff,mape_a_med,26.830126116332714,1.4897871413861716,5
zero_shot,single_phase,rruff,mae_b,3.0423336089449124,0.18975773268493518,5
zero_shot,single_phase,rruff,mape_b_med,25.97511030602348,1.3118735767309824,5
zero_shot,single_phase,rruff,mae_c,3.9620947553628696,0.39332083360080455,5
zero_shot,single_phase,rruff,mape_c_med,36.80377734573348,0.8245454384187539,5
zero_shot,single_phase,rruff,mae_ang,6.336459193198644,0.2759019494121312,5
zero_shot,single_phase,rruff,mae_vol,506.24982037174925,109.27945076304506,5
zero_shot,single_phase,rruff,mape_vol_med,43.864653778076175,4.346127608384581,5
