lambda_1,lambda_2,x_min_mode,x_max_mode,step_mode,count_all,count_ft,fraction_all,cumulative_fraction_all,fraction_ft,mode_id
1.20793,1.20839,5,76,0.015004,19,0,0.00021472808643370554,0.9614054518331001,0.0,121
1.20793,1.20839,18,30,0.015004,19,0,0.00021472808643370554,0.9616201799195339,0.0,122
1.5406,1.54439,5,80,0.009208,19,0,0.00021472808643370554,0.9618349080059676,0.0,123
1.5406,1.54439,30,120,0.020458,19,0,0.00021472808643370554,0.9620496360924014,0.0,124
1.20793,1.20839,20,30,0.015004,17,0,0.0001921251299669997,0.9622417612223684,0.0,125
1.20793,1.20839,20,40,0.015004,17,0,0.0001921251299669997,0.9624338863523354,0.0,126
1.20793,1.20839,20,50,0.015004,17,0,0.0001921251299669997,0.9626260114823024,0.0,127
1.5406,1.54439,10,80,0.015346,17,0,0.0001921251299669997,0.9628181366122694,0.0,128
1.5406,1.54439,10,90,0.022507,17,0,0.0001921251299669997,0.9630102617422365,0.0,129
1.5406,1.54439,10,112,0.010231,17,0,0.0001921251299669997,0.9632023868722035,0.0,130
,,10,90,0.020458,17,0,0.0001921251299669997,0.9633945120021705,0.0,131
1.20793,1.20839,15,31,0.015004,16,0,0.00018082365173364677,0.9635753356539042,0.0,132
1.5406,1.54439,2,35,0.020458,16,0,0.00018082365173364677,0.9637561593056378,0.0,133
1.5406,1.54439,15,80,0.020458,16,0,0.00018082365173364677,0.9639369829573715,0.0,134
1.5406,1.54439,16,53,0.020458,16,0,0.00018082365173364677,0.9641178066091052,0.0,135
,,5,90,0.020458,16,0,0.00018082365173364677,0.9642986302608388,0.0,136
1.20793,1.20839,5,40,0.015004,15,0,0.00016952217350029385,0.9644681524343391,0.0,137
1.20793,1.20839,20,71,0.015004,15,0,0.00016952217350029385,0.9646376746078394,0.0,138
1.20793,1.20839,28,46,0.015004,15,0,0.00016952217350029385,0.9648071967813397,0.0,139
1.5406,1.54439,10,60,0.020458,15,0,0.00016952217350029385,0.96497671895484,0.0,140
1.5406,1.54439,10,110,0.05,15,0,0.00016952217350029385,0.9651462411283404,0.0,141
1.5406,1.54439,10,140,0.015346,15,0,0.00016952217350029385,0.9653157633018407,0.0,142
1.5406,1.54439,10,140,0.020458,15,0,0.00016952217350029385,0.965485285475341,0.0,143
1.5406,1.54439,20,120,0.019438,15,0,0.00016952217350029385,0.9656548076488413,0.0,144
1.5406,1.54439,5,80,0.03342,14,0,0.0001582206952669409,0.9658130283441082,0.0,145
1.5406,1.54439,5,100,0.163691,14,0,0.0001582206952669409,0.9659712490393751,0.0,146
1.5406,1.54439,10,90,0.019438,14,0,0.0001582206952669409,0.9661294697346421,0.0,147
,,10,90,0.019438,14,0,0.0001582206952669409,0.966287690429909,0.0,148
1.20793,1.20839,3,63,0.015004,13,0,0.00014691921703358798,0.9664346096469426,0.0,149
1.20793,1.20839,10,31,0.015004,13,0,0.00014691921703358798,0.9665815288639762,0.0,150
1.20793,1.20839,10,40,0.015004,13,0,0.00014691921703358798,0.9667284480810098,0.0,151
1.20793,1.20839,15,60,0.015004,13,0,0.00014691921703358798,0.9668753672980434,0.0,152
1.5406,1.54439,10,30,0.019438,13,0,0.00014691921703358798,0.9670222865150769,0.0,153
1.5406,1.54439,10,70,0.02,13,1,0.00014691921703358798,0.9671692057321105,0.0004725897920604915,154
1.5406,1.54439,10,75,0.019438,13,0,0.00014691921703358798,0.9673161249491441,0.0,155
1.5406,1.54439,10,91,0.020458,13,0,0.00014691921703358798,0.9674630441661777,0.0,156
1.5406,1.54439,10,100,0.022507,13,0,0.00014691921703358798,0.9676099633832113,0.0,157
1.5406,1.54439,20,70,0.020458,13,0,0.00014691921703358798,0.9677568826002448,0.0,158
0.7093,0.71359,2,70,0.009676,12,0,0.00013561773880023506,0.9678925003390451,0.0,159
0.7093,0.71359,2,70,0.020458,12,0,0.00013561773880023506,0.9680281180778453,0.0,160
1.5406,1.54439,3,60,0.020458,12,1,0.00013561773880023506,0.9681637358166455,0.0004725897920604915,161
1.5406,1.54439,8,90,0.022,12,12,0.00013561773880023506,0.9682993535554457,0.005671077504725898,162
1.5406,1.54439,10,89,0.228068,12,0,0.00013561773880023506,0.9684349712942459,0.0,163
1.5406,1.54439,10,90,0.018415,12,0,0.00013561773880023506,0.9685705890330462,0.0,164
1.5406,1.54439,27,80,0.020458,12,0,0.00013561773880023506,0.9687062067718464,0.0,165
,,5,100,0.060361,12,0,0.00013561773880023506,0.9688418245106466,0.0,166
,,10,80,0.015346,12,0,0.00013561773880023506,0.9689774422494468,0.0,167
0.41244,,1,28,0.01,11,11,0.00012431626056688214,0.9691017585100137,0.005198487712665407,168
1.20793,1.20839,10,36,0.015004,11,0,0.00012431626056688214,0.9692260747705805,0.0,169
1.20793,1.20839,10,72,0.015004,11,0,0.00012431626056688214,0.9693503910311474,0.0,170
1.20793,1.20839,10,90,0.070547,11,0,0.00012431626056688214,0.9694747072917143,0.0,171
1.20793,1.20839,20,25,0.015004,11,0,0.00012431626056688214,0.9695990235522811,0.0,172
1.20793,1.20839,20,30,0.0594,11,0,0.00012431626056688214,0.969723339812848,0.0,173
1.5406,1.54439,5,50,0.104318,11,0,0.00012431626056688214,0.9698476560734148,0.0,174
1.5406,1.54439,10,95,0.020458,11,0,0.00012431626056688214,0.9699719723339817,0.0,175
1.5406,1.54439,20,120,0.015346,11,0,0.00012431626056688214,0.9700962885945486,0.0,176
2.0775,,2,166,0.05,11,11,0.00012431626056688214,0.9702206048551154,0.005198487712665407,177
0.41383,,0,50,0.001,10,10,0.00011301478233352923,0.9703336196374489,0.004725897920604915,178
1.20793,1.20839,2,16,0.015004,10,0,0.00011301478233352923,0.9704466344197824,0.0,179
1.20793,1.20839,5,17,0.015004,10,0,0.00011301478233352923,0.9705596492021159,0.0,180
