fold,eval_set,scope,metric,single_phase_ft,all_real_ft,difference_single_minus_all
3,single_phase,opxrd,mape_vol_med,36.292842864990234,38.11964797973633,-1.8268051147460938
3,multiphase_diagnostic,combined,sys_acc,0.9285714285714286,1.0,-0.0714285714285714
3,multiphase_diagnostic,combined,sg_acc,0.04666666666666667,0.26,-0.21333333333333335
3,multiphase_diagnostic,combined,sg_top5,0.06666666666666667,0.29333333333333333,-0.22666666666666668
3,multiphase_diagnostic,combined,el_f1_micro,0.07917059377945335,0.42001787310098304,-0.3408472793215297
3,multiphase_diagnostic,combined,el_exact,0.0,0.34673366834170855,-0.34673366834170855
3,multiphase_diagnostic,combined,mae_a,1.512262422505202,0.13240458021785856,1.3798578422873433
3,multiphase_diagnostic,combined,mae_a_med,1.1546854367620405,0.1123151299507823,1.0423703068112582
3,multiphase_diagnostic,combined,mape_a_med,31.72212686068374,3.085580442292475,28.636546418391266
3,multiphase_diagnostic,combined,mae_b,2.0041658333795946,0.1531650982055799,1.8510007351740148
3,multiphase_diagnostic,combined,mape_b_med,48.54998204851299,2.9475042533346008,45.60247779517839
3,multiphase_diagnostic,combined,mae_c,3.735491767533218,0.2387628373943827,3.4967289301388353
3,multiphase_diagnostic,combined,mape_c_med,73.52938461936965,4.357879681829504,69.17150493754015
3,multiphase_diagnostic,combined,mae_ang,6.219782385703092,0.8488862602177807,5.370896125485311
3,multiphase_diagnostic,combined,mae_vol,165.56327125004358,5.280900001525879,160.2823712485177
3,multiphase_diagnostic,combined,mape_vol_med,179.280029296875,7.4197962284088135,171.8602330684662
3,multiphase_diagnostic,opxrd,sys_acc,0.9285714285714286,1.0,-0.0714285714285714
3,multiphase_diagnostic,opxrd,sg_acc,0.04666666666666667,0.26,-0.21333333333333335
3,multiphase_diagnostic,opxrd,sg_top5,0.06666666666666667,0.29333333333333333,-0.22666666666666668
3,multiphase_diagnostic,opxrd,el_f1_micro,0.07917059377945335,0.42001787310098304,-0.3408472793215297
3,multiphase_diagnostic,opxrd,el_exact,0.0,0.34673366834170855,-0.34673366834170855
3,multiphase_diagnostic,opxrd,mae_a,1.512262422505202,0.13240458021785856,1.3798578422873433
3,multiphase_diagnostic,opxrd,mae_a_med,1.1546854367620405,0.1123151299507823,1.0423703068112582
3,multiphase_diagnostic,opxrd,mape_a_med,31.72212686068374,3.085580442292475,28.636546418391266
3,multiphase_diagnostic,opxrd,mae_b,2.0041658333795946,0.1531650982055799,1.8510007351740148
3,multiphase_diagnostic,opxrd,mape_b_med,48.54998204851299,2.9475042533346008,45.60247779517839
3,multiphase_diagnostic,opxrd,mae_c,3.735491767533218,0.2387628373943827,3.4967289301388353
3,multiphase_diagnostic,opxrd,mape_c_med,73.52938461936965,4.357879681829504,69.17150493754015
3,multiphase_diagnostic,opxrd,mae_ang,6.219782385703092,0.8488862602177807,5.370896125485311
