fold,arm,eval_set,candidate,reference_epochs,optimizer_steps,el_threshold,scope,n,sg_n,sg_acc,sg_top5,sys_n,sys_acc,lat_n,mae_a,mae_b,mae_c,mae_ang,mae_vol,mae_a_med,mape_a_med,mape_b_med,mape_c_med,mape_vol_med,el_n,el_f1_micro,el_exact
3,single_phase_only,multiphase_diagnostic,head_only,12,528,0.3,opxrd,199,150,0.04666666666666667,0.06666666666666667,28,0.9285714285714286,28,1.512262422505202,2.0041658333795946,3.735491767533218,6.219782385703092,165.56327125004358,1.1546854367620405,31.72212686068374,48.54998204851299,73.52938461936965,179.280029296875,199,0.07917059377945335,0.0
4,zero_shot,single_phase,pretrain,0,0,0.5,combined,462,227,0.2599118942731278,0.5066079295154186,457,0.3741794310722101,452,3.362975615813518,3.580770335238898,4.706890495009698,5.893300848556334,852.1097850124393,2.4406931206328975,30.117418408360052,27.116482717198807,34.37976836606513,52.26171875,271,0.26940346375881974,0.01107011070110701
4,zero_shot,single_phase,pretrain,0,0,0.5,rruff,272,227,0.2599118942731278,0.5066079295154186,267,0.42696629213483145,262,2.9368544393104523,3.036027318951796,4.200670543706254,6.2279112607695915,544.3190991350713,2.349274549395935,28.228197305448585,25.6913054922221,35.566948410457144,48.768333435058594,271,0.26940346375881974,0.01107011070110701
4,zero_shot,single_phase,pretrain,0,0,0.5,opxrd,190,0,,,190,0.3,190,3.950574290780904,4.331942284013746,5.404941164701815,5.4318907011885775,1276.5369413275469,2.637977839207769,33.09853469896999,28.966182849585195,32.98223164102764,55.73771095275879,0,,
4,zero_shot,multiphase_diagnostic,pretrain,0,0,0.5,combined,233,125,0.24,0.256,74,0.44594594594594594,74,2.0691849226208876,2.5222740727382478,3.3277041681017288,5.8645138149060525,180.4761461824984,1.8469179611292437,50.879282599301824,65.70444123602721,81.02197952288748,267.1636276245117,232,0.00516795865633075,0.0
4,zero_shot,multiphase_diagnostic,pretrain,0,0,0.5,rruff,0,0,,,0,,0,,,,,,,,,,,0,,
4,zero_shot,multiphase_diagnostic,pretrain,0,0,0.5,opxrd,233,125,0.24,0.256,74,0.44594594594594594,74,2.0691849226208876,2.5222740727382478,3.3277041681017288,5.8645138149060525,180.4761461824984,1.8469179611292437,50.879282599301824,65.70444123602721,81.02197952288748,267.1636276245117,232,0.00516795865633075,0.0
4,all_real_control,single_phase,stronger,22,968,0.2,combined,462,227,0.4008810572687225,0.6475770925110133,457,0.5579868708971554,452,2.7044017535054343,2.954584724951861,4.0835414593371,5.487414140674989,690.8433861479296,1.805144088862133,23.54299146109685,20.56416264825767,23.66756048272496,39.849016189575195,271,0.5270314017481386,0.0036900369003690036
4,all_real_control,single_phase,stronger,22,968,0.2,rruff,272,227,0.4008810572687225,0.6475770925110133,267,0.5430711610486891,262,2.5941318076868516,2.6765720358777125,3.685879740467169,6.013433005442528,520.8926819590212,1.9150382236072834,23.742873816646053,20.97363931082799,24.374756338759248,40.404531478881836,271,0.5270314017481386,0.0036900369003690036
4,all_real_control,single_phase,stronger,22,968,0.2,opxrd,190,0,,,190,0.5789473684210527,190,2.8564582051079013,3.3379495909383188,4.631896040094585,4.762061811363962,925.1964624505295,1.6167514638280496,21.849129983440086,19.62586546511597,23.59427680973483,38.959794998168945,0,,
4,all_real_control,multiphase_diagnostic,stronger,22,968,0.2,combined,233,125,0.736,0.832,74,0.9864864864864865,74,0.15446108309806994,0.22559601646904617,0.2177386472784122,1.2414469193491187,6.020766052039894,0.10198045119331489,2.813252120343216,3.1034032341914086,4.146436673759748,5.155458927154541,232,0.7573415765069552,0.5948275862068966
4,all_real_control,multiphase_diagnostic,stronger,22,968,0.2,rruff,0,0,,,0,,0,,,,,,,,,,,0,,
4,all_real_control,multiphase_diagnostic,stronger,22,968,0.2,opxrd,233,125,0.736,0.832,74,0.9864864864864865,74,0.15446108309806994,0.22559601646904617,0.2177386472784122,1.2414469193491187,6.020766052039894,0.10198045119331489,2.813252120343216,3.1034032341914086,4.146436673759748,5.155458927154541,232,0.7573415765069552,0.5948275862068966
4,single_phase_only,single_phase,stronger,11,484,0.3,combined,462,227,0.4581497797356828,0.6607929515418502,457,0.5492341356673961,452,2.7720870219443623,3.030950683927479,4.289791519474935,5.2911490026863195,716.5099843962003,1.8908509192217862,23.966262677075747,21.962890651678002,27.23742341688257,39.93901443481445,271,0.5536938309215537,0.0036900369003690036
4,single_phase_only,single_phase,stronger,11,484,0.3,rruff,272,227,0.4581497797356828,0.6607929515418502,267,0.5430711610486891,262,2.6749915847595314,2.7533751917283897,3.7925350081411517,5.688975256071673,521.8401272023907,2.0489042141233123,24.70979599834258,21.962890651678002,29.011592150105955,40.48890686035156,271,0.5536938309215537,0.0036900369003690036
